device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip_country,ip_city,ip_latitude,ip_longitude,ip_timezone,ip_network,ua_os,ua_os_version,ua_browser,ua_browser_version,ua_is_mobile
0e1cf08b-671a-4444-b937-05b673c24b02,4718aa073b08c746ef7a652116da646519eb34a0,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.54,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,6b9c374c42992a46cf9e0ba3677cd32a0568a830,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.205,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,1e6225588202d73a5751c0a647de607a746bf1c4,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.214,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,2fcb03b4876f30c622484a705dcab15d02f286ca,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.205,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,5ae5ee5aa19dadf8bd007c850004e676ec82595b,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.189,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,ddbaa27873b9e36f0a4ec1f7a3a3a98595b4b44c,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.189,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,94251e80b0b100a5a3c61a286e402857969eb6fa,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.3,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,-,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.3,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,381a93aa33c9870f928c74b0d1bb6dde6a35f2e8,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,"213.87.160.164,213.87.131.21",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.160.128/25,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,2f1fc573e9f113ca283f38e9bfa3b170d5bcc40c,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,213.87.137.131,Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.136.0/21,Android,8.0.0,Chrome,79.0.3945,
